,Ticker,Name,Weight (%),Price,Shares,Market Value,Sector,Year
5842,NVE,NV ENERGY INC.,0.02,9.89,76445.0,756041.05,Utilities,2008
5843,CBB,CINCINNATI BELL INC,0.0,1.93,77405.0,149391.65,Utilities,2008
5844,PCS,METROPCS COMMUNICATIONS INC.,0.04,14.85,79124.0,1174991.4,Utilities,2008
5845,SRE,SEMPRA ENERGY,0.11,42.63,81871.0,3490160.73,Utilities,2008
5846,PGN,PROGRESS ENERGY INC.,0.11,39.85,85473.0,3406099.05,Utilities,2008
5847,ED,CONSOLIDATED EDISON INC,0.11,38.93,88646.0,3450988.78,Utilities,2008
5848,NI,NISOURCE INC,0.03,10.97,89723.0,984261.31,Utilities,2008
5849,FE,FIRSTENERGY CORP,0.15,48.58,99409.0,4829289.22,Utilities,2008
5850,FTR,FRONTIER COMMUNICATIONS CORP,0.03,8.74,105331.0,920592.94,Utilities,2008
5851,EIX,EDISON INTERNATIONAL,0.11,32.12,106111.0,3408285.32,Utilities,2008
5852,CNP,CENTERPOINT ENERGY INC,0.04,12.62,107498.0,1356624.76,Utilities,2008
5853,CPN,CALPINE CORP,0.03,7.28,114653.0,834673.84,Utilities,2008
5854,PCG,PG&E CORP,0.14,38.71,116514.0,4510256.94,Utilities,2008
5855,PPL,PPL CORP,0.12,30.69,121858.0,3739822.02,Utilities,2008
5856,AEP,AMERICAN ELECTRIC POWER INC,0.14,33.28,130724.0,4350494.72,Utilities,2008
5857,NEE,NEXTERA ENERGY INC,0.21,50.33,133067.0,6697262.11,Utilities,2008
5858,XEL,XCEL ENERGY INC,0.08,18.55,141027.0,2616050.85,Utilities,2008
5859,WIN,WINDSTREAM CORP.,0.04,9.2,145433.0,1337983.59,Utilities,2008
5860,PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,0.15,29.17,165844.0,4837669.48,Utilities,2008
5861,D,DOMINION ENERGY INC,0.21,35.84,188219.0,6745768.96,Utilities,2008
5862,SE,SPECTRA ENERGY CORP,0.1,15.74,205978.0,3242093.72,Utilities,2008
5863,EXC,EXELON CORP,0.38,55.61,213835.0,11891364.35,Utilities,2008
5864,AES,AES CORP,0.06,8.24,218668.0,1801824.31,Utilities,2008
5865,SO,SOUTHERN,0.29,37.0,250113.0,9254181.0,Utilities,2008
5866,DUK,DUKE ENERGY CORP.,0.2,15.01,412364.0,6189583.64,Utilities,2008
5867,QWST,QWEST COMMUNICATIONS INTERNATIONAL,0.06,3.64,489375.0,1781325.0,Utilities,2008
5868,LVLT,LEVEL 3 COMMUNICATIONS INC.,0.01,0.7,499570.0,349699.02,Utilities,2008
5869,S,SPRINT NEXTEL CORP,0.05,1.83,913123.0,1671015.09,Utilities,2008
5870,VZ,VERIZON COMMUNICATIONS INC,1.0,33.9,928926.0,31490591.41,Utilities,2008
5871,T,AT&T INC,1.75,28.5,1935858.0,55171953.06,Utilities,2008
5873,VTGDF,VANTAGE DRILLING,0.0,1.61,19728.0,31762.08,-,2009
5874,CPA,COPA HOLDINGS A SA,0.01,54.47,7155.0,389732.85,Industrials,2009
5875,UTIW,UTI WORLDWIDE INC,0.01,14.32,24774.0,354763.68,Industrials,2009
5876,FRO,FRONTLINE LTD.,0.01,27.32,12288.0,335708.16,Industrials,2009
5877,NAT,NORDIC AMERICAN TANKERS LTD,0.01,30.0,10319.0,309570.0,Industrials,2009
5878,TK,TEEKAY CORP,0.01,23.21,10414.0,241708.94,Industrials,2009
5879,SFL,SHIP FINANCE INTERNATIONAL LTD,0.0,13.63,10678.0,145541.14,Industrials,2009
5880,GNKOQ,GENCO SHIPPING AND TRADING LTD,0.0,22.38,5903.0,132109.14,Industrials,2009
5881,GLNG,GOLAR LNG LTD,0.0,12.82,8078.0,103559.96,Industrials,2009
5882,GMRRQ,General Maritime Corp.,0.0,6.99,11554.0,80762.42,Industrials,2009
5883,EGLE,EAGLE BULK SHIPPING INC.,0.0,4.95,15213.0,75304.35,Industrials,2009
5884,VLCCF,KNIGHTSBRIDGE SHIPPING LTD,0.0,13.26,4122.0,54657.72,Industrials,2009
5885,DHT,DHT HOLDINGS INC.,0.0,3.68,10975.0,40388.0,Industrials,2009
5886,TNK,TEEKAY TANKERS LTD CLASS A,0.0,8.53,3297.0,28123.41,Industrials,2009
5887,TGH,TEXTAINER GROUP HOLDINGS LTD,0.0,16.9,1661.0,28070.9,Industrials,2009
5888,ULTRF,ULTRAPETROL LTD,0.0,4.76,5738.0,27312.88,Industrials,2009
5889,TBSI,TBS INTERNATIONAL PLC (CL A),0.0,7.35,2543.0,18691.05,Industrials,2009
5890,WMT,WALMART STORES INC,0.98,53.45,538832.0,28800570.4,Consumer Discretionary,2009
5891,MCD,MCDONALDS CORP,0.57,62.44,268902.0,16790240.88,Consumer Discretionary,2009
5892,DIS,WALT DISNEY,0.5,32.25,452597.0,14596253.25,Consumer Discretionary,2009
5893,HD,HOME DEPOT INC,0.41,28.93,413486.0,11962149.98,Consumer Discretionary,2009
5894,CMCSA,COMCAST A CORP,0.4,16.86,700763.0,11814864.17,Consumer Discretionary,2009
5895,AMZN,AMAZON COM INC,0.37,134.52,80119.0,10777607.88,Consumer Discretionary,2009
5896,TGT,TARGET CORP,0.3,48.37,183337.0,8868010.69,Consumer Discretionary,2009
5897,TWX*,TIME WARNER INC,0.29,29.14,291681.0,8499584.28,Consumer Discretionary,2009
5898,LOW,LOWES COMPANIES INC,0.29,23.39,359339.0,8404939.21,Consumer Discretionary,2009
5899,DTV,DIRECTV,0.27,33.35,238423.0,7951407.0,Consumer Discretionary,2009
5900,F,F MOTOR,0.26,10.0,761818.0,7618180.0,Consumer Discretionary,2009
5901,NCRA,NEWS CORP. CL A,0.26,13.69,555057.0,7598730.33,Consumer Discretionary,2009
5902,EBAY,EBAY INC,0.22,23.54,272592.0,6416815.68,Consumer Discretionary,2009
5903,COST,COSTCO WHOLESALE CORP,0.21,59.17,105817.0,6261191.89,Consumer Discretionary,2009
5904,NKE,NIKE INC CLASS B,0.2,66.07,88023.0,5815679.61,Consumer Discretionary,2009
5905,JCI,JOHNSON CONTROLS INC,0.15,27.24,163451.0,4452405.24,Consumer Discretionary,2009
5906,SPLS,STAPLES INC,0.15,24.59,174322.0,4286577.98,Consumer Discretionary,2009
5907,SBUX,STARBUCKS CORP,0.14,23.06,179451.0,4138140.06,Consumer Discretionary,2009
5908,KSS,KOHLS CORP,0.14,53.93,74541.0,4019996.13,Consumer Discretionary,2009
5909,YUM,YUM BRANDS INC,0.13,34.97,112500.0,3934125.0,Consumer Discretionary,2009
5910,VIAB,VIACOM INC CLASS B,0.13,29.73,132256.0,3931970.91,Consumer Discretionary,2009
5911,TJX,TJX INC,0.13,36.55,100731.0,3681718.05,Consumer Discretionary,2009
5912,T3W1,TIME WARNER CABLE-A,0.12,41.39,86164.0,3566327.98,Consumer Discretionary,2009
5913,CCL,CARNIVAL CORP,0.12,31.69,106860.0,3386393.4,Consumer Discretionary,2009
5914,AVP,AVON PRODUCTS INC,0.11,31.5,104494.0,3291561.0,Consumer Discretionary,2009
5915,BBY,BEST BUY INC,0.11,39.46,81969.0,3234496.74,Consumer Discretionary,2009
5916,WU,WESTERN UNION,0.11,18.85,170774.0,3219089.9,Consumer Discretionary,2009
5917,OMC,OMNICOM GROUP INC,0.1,39.15,75691.0,2963302.65,Consumer Discretionary,2009
5918,COH,COACH INC,0.1,36.53,77731.0,2839513.43,Consumer Discretionary,2009
5919,MHFI,S&P GLOBAL INC,0.09,33.51,76605.0,2567033.55,Consumer Discretionary,2009
5920,GPS,GAP INC,0.08,20.95,118000.0,2472100.0,Consumer Discretionary,2009
5921,BBBY,BED BATH AND BEYOND INC,0.08,38.63,63945.0,2470195.35,Consumer Discretionary,2009
5922,PCLN,THE PRICELINE GROUP INC,0.08,218.5,10232.0,2235692.0,Consumer Discretionary,2009
5923,CBS,CBS CORP CLASS B,0.07,14.05,148482.0,2086172.12,Consumer Discretionary,2009
5924,MAR,MARRIOTT INTERNATIONAL INC CLASS A,0.07,27.25,73533.0,2003774.3,Consumer Discretionary,2009
5925,APOL,APOLLO EDUCATION GROUP INC CLASS A,0.07,60.58,32527.0,1970485.65,Consumer Discretionary,2009
5926,HRB,H&R BLOCK INC,0.06,22.62,83061.0,1878839.82,Consumer Discretionary,2009
5927,DISCK,DISCOVERY COMMUNICATIONS INC SERIE,0.06,26.52,68411.0,1814259.71,Consumer Discretionary,2009
5928,MAT,MATTEL INC,0.06,19.98,87879.0,1755822.42,Consumer Discretionary,2009
5929,M,MACYS INC,0.06,16.76,102147.0,1711983.71,Consumer Discretionary,2009
5930,HOT,STARWOOD HOTELS & RESORTS WORLDWID,0.06,36.57,45467.0,1662728.19,Consumer Discretionary,2009
5931,VFC,VF CORP,0.05,73.24,21778.0,1595020.72,Consumer Discretionary,2009
5932,FO,FORTUNE BRANDS INC,0.05,43.2,36831.0,1591099.2,Consumer Discretionary,2009
5933,QVCA,LIBERTY INTERACTIVE QVC GROUP CORP,0.05,10.84,146731.0,1590564.05,Consumer Discretionary,2009
5934,JWN,NORDSTROM INC,0.05,37.58,40507.0,1522253.06,Consumer Discretionary,2009
5935,GPC,GENUINE PARTS,0.05,37.96,39033.0,1481692.68,Consumer Discretionary,2009
5936,CVC,CABLEVISION SYSTEMS CORP CLASS A,0.05,25.82,57355.0,1480906.1,Consumer Discretionary,2009
5937,HOG,HARLEY DAVIDSON INC,0.05,25.2,57460.0,1447992.0,Consumer Discretionary,2009
5938,WHR,WHIRLPOOL CORP,0.05,80.66,17949.0,1447766.34,Consumer Discretionary,2009
5939,JCP,JC PENNEY INC,0.05,26.61,53908.0,1434491.88,Consumer Discretionary,2009
5940,LBTYA,LIBERTY GLOBAL PLC CLASS A,0.05,21.91,65246.0,1429539.86,Consumer Discretionary,2009
5941,IGT,INTERNATIONAL GAME TECHNOLOGY,0.05,18.77,72690.0,1364391.3,Consumer Discretionary,2009
5942,FAST,FASTENAL,0.05,41.64,32069.0,1335353.16,Consumer Discretionary,2009
5943,ROST,ROSS STORES INC,0.05,42.71,31067.0,1326871.57,Consumer Discretionary,2009
5944,EL,ESTEE LAUDER INC CLASS A,0.04,48.36,27138.0,1312393.68,Consumer Discretionary,2009
5945,TIF,TIFFANY,0.04,43.0,30417.0,1307931.0,Consumer Discretionary,2009
5946,KMX,CARMAX INC,0.04,24.25,53494.0,1297229.5,Consumer Discretionary,2009
5947,ORLY,OREILLY AUTOMOTIVE INC.,0.04,38.12,33164.0,1264211.66,Consumer Discretionary,2009
5948,LTD,LIMITED BRANDS INC.,0.04,19.24,65346.0,1257257.04,Consumer Discretionary,2009
5949,VMED,VIRGIN MEDIA INC,0.04,16.83,70865.0,1192657.97,Consumer Discretionary,2009
5950,DRI,DARDEN RESTAURANTS INC,0.04,35.07,33463.0,1173547.41,Consumer Discretionary,2009
5951,EXPE,EXPEDIA INC.,0.04,25.71,45095.0,1159392.46,Consumer Discretionary,2009
5952,AZO,AUTOZONE INC,0.04,158.07,7285.0,1151539.95,Consumer Discretionary,2009
5953,URBN,URBAN OUTFITTERS INC,0.04,34.99,31310.0,1095536.9,Consumer Discretionary,2009
5954,LVS,LAS VEGAS SANDS CORP,0.04,14.94,73000.0,1090620.0,Consumer Discretionary,2009
5955,RL,POLO RALPH LAUREN CORP.,0.04,80.98,13306.0,1077519.88,Consumer Discretionary,2009
5956,DLTR,DOLLAR TREE INC,0.04,48.3,21862.0,1055934.6,Consumer Discretionary,2009
5957,DISH,DISH NETWORK CORP CLASS A,0.04,20.77,49617.0,1030545.09,Consumer Discretionary,2009
5958,NWL,NEWELL BRANDS INC,0.03,15.01,68026.0,1021070.26,Consumer Discretionary,2009
5959,SHLD,SEARS HOLDINGS CORP,0.03,83.45,12164.0,1015085.81,Consumer Discretionary,2009
5960,SWK,STANLEY WORKS,0.03,51.51,19258.0,991979.58,Consumer Discretionary,2009
5961,NVR,NVR INC,0.03,710.71,1391.0,988597.61,Consumer Discretionary,2009
5962,HAS,HASBRO INC,0.03,32.06,30568.0,980010.08,Consumer Discretionary,2009
5963,BDK,THE BLACK & DECKER CORPORATION,0.03,64.83,14745.0,955918.35,Consumer Discretionary,2009
5964,FDO,FAMILY DOLLAR STORES INC,0.03,27.83,34028.0,946999.24,Consumer Discretionary,2009
5965,WYNN,WYNN RESORTS LTD,0.03,58.23,16186.0,942510.78,Consumer Discretionary,2009
5966,BWA,BORGWARNER INC,0.03,33.22,28291.0,939827.02,Consumer Discretionary,2009
5967,AAP,ADVANCE AUTO PARTS INC,0.03,40.48,23070.0,933873.6,Consumer Discretionary,2009
5968,ALV,AUTOLIV INC,0.03,43.36,20898.0,906137.28,Consumer Discretionary,2009
5969,ESINQ,ITT EDUCATIONAL SERVICES INC,0.03,95.96,9402.0,902215.92,Consumer Discretionary,2009
5970,SNI,SCRIPPS NETWORKS INTERACTIVE INC C,0.03,41.5,21707.0,900840.5,Consumer Discretionary,2009
5971,GME,GAMESTOP CORP CLASS A,0.03,21.94,39974.0,877029.56,Consumer Discretionary,2009
5972,WYN,WYNDHAM WORLDWIDE CORP,0.03,20.17,42980.0,866906.61,Consumer Discretionary,2009
5973,TGNA,GANNETT CO INC,0.03,14.85,57702.0,856874.7,Consumer Discretionary,2009
5974,IPG,INTERPUBLIC GROUP OF COMPANIES INC,0.03,7.38,115550.0,852759.01,Consumer Discretionary,2009
5975,DV,DEVRY EDUCATION GROUP INC,0.03,56.73,14995.0,850666.35,Consumer Discretionary,2009
5976,GRMN,GARMIN LTD.,0.03,30.7,27600.0,847320.0,Consumer Discretionary,2009
5977,GT,GOODYEAR TIRE & RUBBER,0.03,14.1,59723.0,842094.3,Consumer Discretionary,2009
5978,PETM,PETSMART INC,0.03,26.69,30816.0,822479.04,Consumer Discretionary,2009
5979,RCL,ROYAL CARIBBEAN CRUISES LTD,0.03,25.28,32201.0,814041.28,Consumer Discretionary,2009
5980,PHM,PULTEGROUP INC,0.03,10.0,80868.0,808680.0,Consumer Discretionary,2009
5981,LEG,LEGGETT & PLATT INC,0.03,20.4,38057.0,776362.8,Consumer Discretionary,2009
5982,ANF,ABERCROMBIE AND FITCH CLASS A,0.03,34.85,21767.0,758579.95,Consumer Discretionary,2009
5983,DHI,D R HORTON INC,0.03,10.87,68639.0,746105.93,Consumer Discretionary,2009
5984,STRA,STRAYER EDUCATION INC,0.03,212.49,3461.0,735427.89,Consumer Discretionary,2009
5985,TUP,TUPPERWARE BRANDS CORP,0.02,46.57,15536.0,723511.52,Consumer Discretionary,2009
5986,AEO,AMERICAN EAGLE OUTFITTERS INC,0.02,16.98,41869.0,710935.62,Consumer Discretionary,2009
5987,DWA,DREAMWORKS ANIMATION SKG INC. CL A,0.02,39.95,17630.0,704318.5,Consumer Discretionary,2009
5988,CMG,CHIPOTLE MEXICAN GRILL INC,0.02,88.16,7688.0,677774.08,Consumer Discretionary,2009
5989,LKQ1,LKQ CORP,0.02,19.59,34176.0,669507.84,Consumer Discretionary,2009
5990,GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,0.02,439.6,1507.0,662477.2,Consumer Discretionary,2009
5991,JAH,JARDEN CORP,0.02,30.91,21327.0,659217.59,Consumer Discretionary,2009
5992,MVL,MARVEL ENTERTAINMENT,0.02,54.08,12106.0,654692.48,Consumer Discretionary,2009
5993,MHK,MOHAWK INDUSTRIES INC,0.02,47.6,13569.0,645884.4,Consumer Discretionary,2009
5994,TLK,TOLL BROTHERS INC,0.02,18.81,33229.0,625037.49,Consumer Discretionary,2009
5995,GES,GUESS INC,0.02,42.3,14438.0,610727.4,Consumer Discretionary,2009
5996,GNTX,GENTEX CORP,0.02,17.85,33902.0,605150.7,Consumer Discretionary,2009
5997,CHS,CHICOS FAS INC,0.02,14.05,42484.0,596900.2,Consumer Discretionary,2009
5998,RSHCQ,RS LEGACY CORP,0.02,19.5,30565.0,596017.5,Consumer Discretionary,2009
5999,BIG,BIG LOTS INC,0.02,28.98,20527.0,594872.46,Consumer Discretionary,2009
6000,SNA,SNAP ON INC,0.02,42.26,13882.0,586653.32,Consumer Discretionary,2009
6001,LSTZA,LIBERTY MEDIA CORP. LIBERTY STARZ,0.02,46.15,12678.0,585089.86,Consumer Discretionary,2009
6002,SIG,SIGNET JEWELERS LTD,0.02,26.72,21358.0,570685.76,Consumer Discretionary,2009
6003,AROPQ,AEROPOSTALE INC,0.02,34.05,16711.0,569009.57,Consumer Discretionary,2009
6004,TDT,TECH DATA CORP,0.02,46.66,12090.0,564119.4,Consumer Discretionary,2009
6005,BYI,BALLY TECHNOLOGIES INC.,0.02,41.29,13580.0,560718.2,Consumer Discretionary,2009
6006,HBI,HANESBRANDS INC,0.02,24.11,22765.0,548864.17,Consumer Discretionary,2009
6007,H9B1,HERC HOLDINGS INC,0.02,11.92,45894.0,547056.48,Consumer Discretionary,2009
6008,NFLX,NETFLIX INC,0.02,55.14,9844.0,542798.16,Consumer Discretionary,2009
6009,JCG,J. CREW GROUP INC.,0.02,44.74,12123.0,542383.02,Consumer Discretionary,2009
6010,DSG,DICKS SPORTING INC,0.02,24.87,20954.0,521125.98,Consumer Discretionary,2009
6011,HAR,HARMAN INTERNATIONAL INC,0.02,35.28,14668.0,517487.04,Consumer Discretionary,2009
6012,WMS,WMS INDUSTRIES INC.,0.02,40.0,12859.0,514360.0,Consumer Discretionary,2009
6013,PVH,PHILLIPS-VAN HEUSEN CORP.,0.02,40.68,12404.0,504594.72,Consumer Discretionary,2009
6014,SVC,SERVICE CORPORATION INTERNATIONAL,0.02,8.19,60351.0,494274.69,Consumer Discretionary,2009
6015,BKC,BURGER KING HOLDINGS INC,0.02,18.82,25840.0,486308.8,Consumer Discretionary,2009
6016,MSM,MSC INDUSTRIAL INC CLASS A,0.02,47.0,10310.0,484570.0,Consumer Discretionary,2009
6017,WM1,WILLIAMS SONOMA INC,0.02,20.78,23110.0,480225.8,Consumer Discretionary,2009
6018,IAC,IAC INTERACTIVE,0.02,20.48,23400.0,479232.0,Consumer Discretionary,2009
6019,LCAPA,LIBERTY MEDIA CORP,0.02,23.88,19696.0,470340.49,Consumer Discretionary,2009
6020,WRC,WARNACO GROUP INC.,0.02,42.19,10987.0,463541.53,Consumer Discretionary,2009
6021,TSCO,TRACTOR SUPPLY,0.02,52.96,8748.0,463294.08,Consumer Discretionary,2009
6022,LEN,LENNAR A CORP,0.02,12.77,36105.0,461060.85,Consumer Discretionary,2009
6023,PNRA,PANERA BREAD CLASS A,0.02,66.97,6852.0,458878.44,Consumer Discretionary,2009
6024,BJ,BJS WHOLESALE CLUB INC,0.02,32.71,13686.0,447669.06,Consumer Discretionary,2009
6025,PENN,PENN NATIONAL GAMING INC,0.02,27.18,16387.0,445398.66,Consumer Discretionary,2009
6026,ODP,OFFICE DEPOT INC,0.02,6.45,68338.0,440780.1,Consumer Discretionary,2009
6027,MGM,MGM RESORTS INTERNATIONAL,0.01,9.12,47930.0,437121.6,Consumer Discretionary,2009
6028,TPX,TEMPUR SEALY INTERNATIONAL INC,0.01,23.63,18481.0,436706.03,Consumer Discretionary,2009
6029,LAMR,LAMAR ADVERTISING CO. CL A,0.01,31.09,13942.0,433456.78,Consumer Discretionary,2009
6030,JWA,JOHN WILEY AND SONS INC CLASS A,0.01,41.88,10298.0,431280.24,Consumer Discretionary,2009
6031,WEN,WENDYS/ARBYS GROUP INC.,0.01,4.69,89807.0,421195.04,Consumer Discretionary,2009
6032,WOO,FOOT LOCKER INC,0.01,11.14,37176.0,414140.64,Consumer Discretionary,2009
6033,WBC,WABCO HOLDINGS INC,0.01,25.79,15796.0,407378.85,Consumer Discretionary,2009
6034,CECO,CAREER EDUCATION CORP,0.01,23.31,16923.0,394475.13,Consumer Discretionary,2009
6035,FOSL,FOSSIL GROUP INC.,0.01,33.56,11387.0,382147.72,Consumer Discretionary,2009
6036,BID,SOTHEBYS,0.01,22.48,16733.0,376157.84,Consumer Discretionary,2009
6037,DAN,DANA INCORPORATED INC,0.01,10.84,34234.0,371096.56,Consumer Discretionary,2009
6038,EAT,BRINKER INTERNATIONAL INC,0.01,14.92,24758.0,369389.36,Consumer Discretionary,2009
6039,CRI,CARTERS INC,0.01,26.25,13518.0,354847.5,Consumer Discretionary,2009
6040,PSS,COLLECTIVE BRANDS INC.,0.01,22.77,15228.0,346741.56,Consumer Discretionary,2009
6041,CEDCQ,CENTRAL EUROPEAN DISTRIBUTION CORP,0.01,28.41,12132.0,344670.13,Consumer Discretionary,2009
6042,AN,AUTONATION INC,0.01,19.15,17854.0,341904.1,Consumer Discretionary,2009
6043,ESND,ESSENDANT INC,0.01,56.85,6013.0,341839.05,Consumer Discretionary,2009
6044,JNY,JONES GROUP INC,0.01,16.06,21229.0,340937.74,Consumer Discretionary,2009
6045,TRW,TRW AUTOMOTIVE HOLDINGS CORP,0.01,23.88,13975.0,333723.0,Consumer Discretionary,2009
6046,PII,POLARIS INDUSTRIES INC,0.01,43.63,7611.0,332067.93,Consumer Discretionary,2009
6047,WWW,WOLVERINE WORLD WIDE INC,0.01,27.22,12198.0,332029.56,Consumer Discretionary,2009
6048,AAN.2,AARONS INC.,0.01,27.73,11609.0,321917.57,Consumer Discretionary,2009
6049,DBRN,DRESS BARN INC.,0.01,23.1,13894.0,320951.55,Consumer Discretionary,2009
6050,H,HYATT HOTELS CORP CLASS A,0.01,29.81,10720.0,319563.2,Consumer Discretionary,2009
6051,DECK,DECKERS OUTDOOR CORP,0.01,101.72,3130.0,318383.6,Consumer Discretionary,2009
6052,MELI,MERCADOLIBRE INC,0.01,51.87,6136.0,318274.32,Consumer Discretionary,2009
6053,CAR,AVIS BUDGET GROUP INC,0.01,13.12,24234.0,317950.08,Consumer Discretionary,2009
6054,GYMB,GYMBOREE CORP,0.01,43.49,7265.0,315954.85,Consumer Discretionary,2009
6055,NYT,NEW YORK TIMES CLASS A,0.01,12.36,25530.0,315550.8,Consumer Discretionary,2009
6056,NUS,NU SKIN ENTERPRISES INC CLASS A,0.01,26.87,11682.0,313895.34,Consumer Discretionary,2009
6057,CAKE,CHEESECAKE FACTORY INC,0.01,21.59,14159.0,305692.82,Consumer Discretionary,2009
6058,RGC,REGAL ENTERTAINMENT GROUP CLASS A,0.01,14.44,20471.0,295601.24,Consumer Discretionary,2009
6059,LULU,LULULEMON ATHLETICA INC,0.01,30.1,9631.0,289893.1,Consumer Discretionary,2009
6060,CTB,COOPER TIRE AND RUBBER,0.01,20.05,14298.0,286674.9,Consumer Discretionary,2009
6061,MDC,MDC HOLDINGS INC,0.01,31.04,9044.0,280725.76,Consumer Discretionary,2009
6062,MTN,VAIL RESORTS INC,0.01,37.8,7425.0,280665.0,Consumer Discretionary,2009
6063,RCII,RENT-A-CENTER INC,0.01,17.72,15758.0,279231.76,Consumer Discretionary,2009
6064,HI,HILLENBRAND INC,0.01,18.84,14778.0,278417.52,Consumer Discretionary,2009
6065,EKDKQ,EASTMAN KODAK CO.,0.01,4.22,65784.0,277608.48,Consumer Discretionary,2009
6066,TIVO,TIVO INC.,0.01,10.18,27186.0,276753.48,Consumer Discretionary,2009
6067,BC,BRUNSWICK CORP,0.01,12.71,21546.0,273849.66,Consumer Discretionary,2009
6068,COCOQ,CORINTHIAN COLLEGES UNDEFINED INC,0.01,13.77,19753.0,271998.81,Consumer Discretionary,2009
6069,JACK,JACK IN THE BOX INC,0.01,19.67,13756.0,270580.52,Consumer Discretionary,2009
6070,WP7,WESCO INTERNATIONAL INC,0.01,27.01,9974.0,269397.74,Consumer Discretionary,2009
6071,MW,TAILORED BRANDS INC,0.01,21.06,12760.0,268725.6,Consumer Discretionary,2009
6072,MATW,MATTHEWS INTERNATIONAL CORP CLASS,0.01,35.43,7498.0,265654.14,Consumer Discretionary,2009
6073,THO,THOR INDUSTRIES INC,0.01,31.4,8406.0,263948.4,Consumer Discretionary,2009
6074,MDP,MEREDITH CORP,0.01,30.85,8450.0,260682.5,Consumer Discretionary,2009
6075,CPLA,CAPELLA EDUCATION,0.01,75.3,3443.0,259257.9,Consumer Discretionary,2009
6076,WTW,WEIGHT WATCHERS INTERNATIONAL INC,0.01,29.16,8506.0,248034.96,Consumer Discretionary,2009
6077,KBH,KB HOME,0.01,13.68,18126.0,247963.68,Consumer Discretionary,2009
6078,JAS,JO-ANN STORES INC.,0.01,36.24,6825.0,247338.01,Consumer Discretionary,2009
6079,LTM,LIFE TIME FITNESS INC.,0.01,24.93,9648.0,240524.64,Consumer Discretionary,2009
6080,SKX,SKECHERS USA INC CLASS A,0.01,29.41,7904.0,232456.64,Consumer Discretionary,2009
6081,CHH,CHOICE HOTELS INTERNATIONAL INC,0.01,31.66,7269.0,230136.54,Consumer Discretionary,2009
6082,PFCB,P.F. CHANGS CHINA BISTRO INC.,0.01,37.91,6029.0,228559.39,Consumer Discretionary,2009
6083,OMX,OFFICEMAX INC.,0.01,12.69,17925.0,227468.25,Consumer Discretionary,2009
6084,NTRI,NUTRISYSTEM INC,0.01,31.17,7175.0,223644.75,Consumer Discretionary,2009
6085,SGMS,SCIENTIFIC GAMES CORP CLASS A,0.01,14.55,15328.0,223022.4,Consumer Discretionary,2009
6086,VCI,VALASSIS COMMUNICATIONS INC,0.01,18.26,12162.0,222078.12,Consumer Discretionary,2009
6087,DDS,DILLARDS INC CLASS A,0.01,18.45,11988.0,221178.6,Consumer Discretionary,2009
6088,ICON,ICONIX BRAND GROUP INC,0.01,12.65,17308.0,218946.2,Consumer Discretionary,2009
6089,POOL,POOL CORP,0.01,19.08,11464.0,218733.12,Consumer Discretionary,2009
6090,G,GENPACT LTD,0.01,14.9,14574.0,217152.6,Consumer Discretionary,2009
6091,VCLK,VALUECLICK INC.,0.01,10.12,21403.0,216598.36,Consumer Discretionary,2009
6092,UAA,UNDER ARMOUR INC CLASS A,0.01,27.27,7927.0,216169.29,Consumer Discretionary,2009
6093,RGS,REGIS CORP,0.01,15.57,13852.0,215675.64,Consumer Discretionary,2009
6094,RYL,RYLAND GROUP INC.,0.01,19.7,10904.0,214808.8,Consumer Discretionary,2009
6095,CBRL,CRACKER BARREL OLD COUNTRY STORE I,0.01,37.99,5648.0,214567.52,Consumer Discretionary,2009
6096,BOBE,BOB EVANS FARMS INC,0.01,28.95,7361.0,213100.95,Consumer Discretionary,2009
6097,ISCA,INTERNATIONAL SPEEDWAY CORP CLASS,0.01,28.45,7391.0,210273.95,Consumer Discretionary,2009
6098,MTOR,MERITOR INC,0.01,11.18,18777.0,209926.86,Consumer Discretionary,2009
6099,NILE,BLUE NILE INC.,0.01,63.33,3299.0,208925.67,Consumer Discretionary,2009
6100,HSNI,HSN INC,0.01,20.19,10306.0,208078.2,Consumer Discretionary,2009
6101,CSTR,COINSTAR INC.,0.01,27.78,7265.0,201821.7,Consumer Discretionary,2009
6102,AM,AMERICAN GREETINGS CORP. CL A,0.01,21.79,9262.0,201818.98,Consumer Discretionary,2009
6103,TBL,TIMBERLAND CO,0.01,17.93,11227.0,201300.11,Consumer Discretionary,2009
6104,TEN,TENNECO INC,0.01,17.73,11320.0,200703.6,Consumer Discretionary,2009
6105,SKS,SAKS INC.,0.01,6.56,29736.0,195068.16,Consumer Discretionary,2009
6106,GET,GAYLORD ENTERTAINMENT CO.,0.01,19.75,9756.0,192681.0,Consumer Discretionary,2009
6107,CETV,CENTRAL EUROPEAN MEDIA ENTERPRISES,0.01,23.61,8098.0,191193.78,Consumer Discretionary,2009
6108,OEH,ORIENT EXPRESS HOTELS LTD.,0.01,10.14,18832.0,190956.48,Consumer Discretionary,2009
6109,BWLD,BUFFALO WILD WINGS INC,0.01,40.27,4732.0,190557.64,Consumer Discretionary,2009
6110,BKE,BUCKLE INC,0.01,29.28,6459.0,189119.52,Consumer Discretionary,2009
